HPHM,STIME,PATH,FX
hp911,1900/01/01 17:12:00,40064005-40054004-40044007,直-左-直
hp912,1900/01/01 17:12:00,40094006-40064003-40034002,直-左-左
hp913,1900/01/01 17:12:00,40054004-40044007,左-直
hp914,1900/01/01 17:12:00,40084007-40074008,左-右
hp915,1900/01/01 17:12:00,40014002-40024005-40054004-40044001,右-右-右-左
hp916,1900/01/01 17:15:00,40024003,右
hp917,1900/01/01 17:12:00,40044005-40054006-40064003,直-左-左
hp918,1900/01/01 17:12:00,40094008-40084007,直-左
hp919,1900/01/01 17:12:00,40024003,右
hp920,1900/01/01 17:15:00,40024003,右
hp921,1900/01/01 17:12:00,40074004-40044001,直-左
hp922,1900/01/01 17:12:00,40094006-40064003-40034002,直-左-左
hp923,1900/01/01 17:15:00,40054008,左
hp924,1900/01/01 17:13:40.100000,40074008,右
hp925,1900/01/01 17:12:00,40014002-40024005,右-左
hp926,1900/01/01 17:12:00,40074004-40044001-40014002-40024005-40054008-40084007,直-右-右-直-右-左
hp927,1900/01/01 17:14:21.818182,40074008,右
hp928,1900/01/01 17:14:06,40074008-40084009-40094006,直-左-右
hp929,1900/01/01 17:13:43.636364,40074008-40084009,直-直
hp930,1900/01/01 17:12:00,40094006-40064003,直-左
